facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
AMERICAN CRYSTAL SUGAR - CROOKSTON,MN,"Minerals,Waste",292276.918,47.764625,-96.629975,2021
AMERICAN CRYSTAL SUGAR - E GRAND FORKS,MN,"Minerals,Waste",385350.442,47.925833,-97.006111,2021
AMERICAN CRYSTAL SUGAR - HILLSBORO,ND,"Minerals,Waste",484615.522,47.435833,-97.0625,2021
AMERICAN CRYSTAL SUGAR - MOORHEAD,MN,"Minerals,Waste",288160.642,46.903056,-96.759722,2021
AMERICAN ENVIRONMENTAL LANDFILL,OK,Waste,201369.748,36.163345,-96.188988,2021
AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,NM,Minerals,15259.592,35.330083,-106.5275,2021
AMERICAN GYPSUM CO /GYPSUM WALLBOARD PLT,OK,Minerals,99824.824,34.66029,-99.58732,2021
AMERICAN GYPSUM COMPANY,CO,Minerals,65717.052,39.658889,-106.956111,2021
ARTESIA GAS PLANT,NM,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2",93385.218,32.7564,-104.2111,2021
ALLIANCE PIPELINE - OLIVIA 23-A,MN,Petroleum and Natural Gas Systems,83212.686,44.8491,-94.8969,2021
ALLIANCE PIPELINE L.P. - MANCHESTER,IA,Petroleum and Natural Gas Systems,82555.84,42.46915,-91.55145,2021
ALLIANCE PIPELINE LP-Tampico,IL,Petroleum and Natural Gas Systems,59479.026,41.592546,-89.784245,2021
"ALLIANCE PIPELINE, L.P.-FAIRMOUNT COMPRESSOR STATION",ND,Petroleum and Natural Gas Systems,87095.422,45.993367,-96.648999,2021
"ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION",ND,Petroleum and Natural Gas Systems,88291.118,47.191058,-98.42561,2021
AMERICAN GYPSUM COMPANY,NM,Minerals,44340.184,35.17237,-106.59347,2021
AMERICAN REFINING GROUP INC,PA,"Petroleum Product Suppliers,Refineries",125098.256,41.965472,-78.633108,2021
AMERICAN SUGAR REFINING INC - Chalmette Refinery,LA,Other,169307.212,29.953741,-89.997638,2021
AMERICAN SYNTHETIC RUBBER,KY,Other,188662.742,38.209167,-85.843611,2021
AMERICAS STYRENICS LLC - ST JAMES PLANT,LA,Chemicals,733592.372,30.08013,-90.916,2021
